layers,neurons,eta,0,1,2,3,4
L=2,$l_i$=4,$eta=0.90$,"Matrix([[0.0575805784258171, 0.265273683508081], [0.364949383658560, 0.268510909226049]])","Matrix([[0.664091183459748, 0.677104773454598], [0.570649100807490, 0.257050939421572], [0.685571180635087, 0.273811618725813], [0.191674427111190, 0.466465995507111]])","Matrix([[0.585010990380405, 0.706454424266552, 0.578421133936990, 0.632053294857924], [0.981102676532823, 0.494384540024047, 0.823127352617389, 0.496186987187962], [0.638955983391289, 0.416543031147143, 0.475580998610797, 0.460941193906241], [0.841034907108189, 0.795763811637807, 0.833547919343338, 0.532297357804581]])","Matrix([[2.05360255405381, 2.57070140962207, 1.96082343890498, 2.16219439228113]])",
L=2,$l_i$=5,$eta=0.90$,"Matrix([[0.302521511360619, 0.696895293869553], [0.433256792553601, 0.265211065409951]])","Matrix([[0.363655520099903, 0.438867779229971], [0.561568830258606, 0.436621279434108], [0.255816050300473, 0.678227359497983], [0.446465298426146, 0.446680656718704], [0.628792260206156, 0.411065514742624]])","Matrix([[0.569918714500938, 0.593041571331069, 0.509303128667853, 0.524658203167075, 0.324739731529362], [0.319207808998357, 0.665371804159799, 0.730987329587228, 0.385395087678588, 0.613995973860706], [0.669359591866927, 0.287392876272344, 0.396257433375529, 0.281967950433944, 0.274571995183236], [0.312214858185151, 0.665675302411563, 0.714781839792608, 0.221848727949602, 0.232971600956356], [0.311006641078427, 0.554158250999995, 0.583968603278151, 0.324278690001976, 0.875037968275589]])","Matrix([[1.74458430331904, 2.12803447220384, 1.18874048447738, 1.63832518171569, 2.37222367636239]])",
L=2,$l_i$=1,$eta=0.50$,"Matrix([[0.0468500343744183, 0.716959226797747], [0.670798549237963, 0.350864028322191]])","Matrix([[1.35599005066274, 0.837203933516540]])",Matrix([[3.12529142609292]]),Matrix([[6.27616442854066]]),
L=2,$l_i$=2,$eta=0.50$,"Matrix([[0.892909366525979, 0.918619952560255], [0.963251540207576, 1.11717058969856]])","Matrix([[0.763159683685689, 0.538941767285920], [0.804959287292803, 1.19053878524948]])","Matrix([[1.73174417728608, 1.43384131950314], [0.851564360455446, 1.27818102199868]])","Matrix([[4.05466547622258, 3.08968505158480]])",
L=2,$l_i$=3,$eta=0.50$,"Matrix([[0.970757014855802, 0.363511131582830], [0.485254199885139, 0.765149161627766]])","Matrix([[0.930909903690337, 0.808836292652742], [0.440154694376758, 0.220550761411174], [0.296243659831186, 0.996547898952817]])","Matrix([[1.14973691847059, 0.636257337654412, 1.02239641287367], [0.471370525234438, 0.362025155249551, 0.897287315516723], [0.697320852645210, 1.11798369797810, 0.856558603021628]])","Matrix([[3.00538557210868, 1.98352168162772, 2.78769913820254]])",
L=2,$l_i$=4,$eta=0.50$,"Matrix([[0.180669788218802, 0.653829026774912], [0.874913597188151, 0.989976681497603]])","Matrix([[0.510722204359360, 0.290265013373938], [0.658218146334223, 0.383774967591314], [0.703576154178755, 0.402865246116743], [0.763162496694852, 0.324984527693953]])","Matrix([[0.465867351386589, 0.504375126721101, 0.889578708334916, 0.714021548272573], [0.858425136626948, 0.510903369234428, 0.189952526701086, 0.793684646808006], [0.748174488668064, 0.839827215664589, 0.693216213729520, 0.443115965987791], [0.535682247267314, 0.235286000723893, 0.490451676968746, 0.450203911312037]])","Matrix([[2.60729091106433, 1.64172863812674, 2.48824559483499, 1.40093024073163]])",
L=2,$l_i$=5,$eta=0.50$,"Matrix([[0.302185207549813, 0.321188798480795], [0.586717746333662, 0.848770958394610]])","Matrix([[0.466893968060373, 0.548219897549306], [0.0825480608871067, 0.471014493310490], [0.533375050792414, 0.362638084501021], [0.547101069012919, 0.240505636556359], [0.582973680958764, 0.623138764624486]])","Matrix([[0.544765805968203, 0.553246556377371, 0.229729920417745, 0.119078924311407, 0.252040833493690], [0.589175515716385, 0.122820122217485, 0.509437975026644, 0.673368683702971, 0.396905220975242], [0.683694705680197, 0.428434046121718, 0.667022083985930, 0.495095111611131, 0.518673775021585], [0.656445409821240, 0.414487178898572, 0.337308201830262, 0.448005988357167, 0.661757388263197], [0.539031354211800, 0.318816607952558, 0.651790661938807, 0.774229816621536, 0.412788569161202]])","Matrix([[1.05136990929527, 1.38947143159916, 1.81975885931554, 2.18274909776246, 1.90785118115569]])",
L=2,$l_i$=1,$eta=0.20$,"Matrix([[0.183117384251601, 0.662035196007648], [0.608439838867288, 0.704287294272643]])","Matrix([[1.58772469951273, 1.04360728397913]])",Matrix([[2.83591856735338]]),Matrix([[5.74108035194635]]),
L=2,$l_i$=2,$eta=0.20$,"Matrix([[0.0778024587172856, 1.07740701844252], [0.924970000725296, 0.350672117922041]])","Matrix([[0.810802328324038, 0.557795997676705], [0.943497838451685, 0.560366710047611]])","Matrix([[1.16787291381259, 1.43781701762837], [1.35374843511966, 0.763155880291016]])","Matrix([[3.83076615614827, 2.64620277934869]])",
L=2,$l_i$=3,$eta=0.20$,"Matrix([[0.730621265579929, 0.967191453249057], [0.381921365717041, 0.136248127919490]])","Matrix([[0.392967805410530, 0.383595090013086], [0.489435057590991, 0.398156554125903], [0.791138272291390, 0.432850375881939]])","Matrix([[0.830288950138723, 0.615619408989752, 0.500256559085228], [0.419890856431903, 0.795771552595235, 1.04205875618942], [1.10062759331822, 1.05721517891207, 0.626632966201325]])","Matrix([[2.34861452269097, 1.78995752014845, 2.90681836844331]])",
